Str. Nr.;Straße (Katalog);Absch-Nr.;Straßenkürzel;Klassifizierung;Straßentyp;Länge
124;Sudetenstraße;1405;L597;Landesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.10300000000000001
1115;Valentin-Streuber-Straße;3617;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.111
180;Kaiserstuhlring;562;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.044
90;Kloppenheimer Straße;32969;;Landesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.0
4126;Friedrich-Traumann-Straße;11540;;;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.037
231;Trompetergasse;661;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.122
4049;Nördliche Anlage;11215;;beschränkt öffentlicher Weg;Ia Bundes- und Landstraßen außerorts;0.446
1156;Rheinhäuser Straße;3593;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.094
238;Weimarer Straße;685;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08
272;Banater Straße;1748;B 38a;Bundesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.089
1155;Krappmühlstraße;3597;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.099
243;Walldürner Straße;692;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.105
1731;00B36;9372;B37;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.375
66;Am Stock;11314;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.073
229;Kamenzer Straße;645;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.149
1212;Sophienstraße;3743;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.11900000000000001
1478;Bismarckstraße;5228;B37;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.07100000000000001
228;Adelsheimer Straße;643;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.14100000000000001
3821;;5542;B44;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.646
1755;E5,E6;5199;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08600000000000001
1731;00B36;9373;;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.289
182;Leipziger Straße;650;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.069
416;Casterfeldstraße;2723;B36;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.116
3821;;5396;B44;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.151
230;Zwickauer Weg;652;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.10300000000000001
1731;00B36;11198;B37;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.083
184;Kormoranstraße;655;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.053
1743;Schanzenstraße;5181;B44;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.091
98;Freiburger Straße;411;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.019
1739;Freherstraße;5174;B44;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.209
1409;Waldhofstraße;4438;B44;Bundesstraße Ortsdurchfahrt;Ib Industriesammelstraße, Bundesstraßen Innerorts;0.095
100;Offenburger Straße;420;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.068
